,English_title_token,Telugu_title_token
1571,DARAMADUGULA,దరమడుగుల
1572,IRLAPALLE,ఇర్లపల్లె
1573,(I),(ఐ)
1574,CHINNA,చిన్న
1575,BEERAMPALLE,బీరంపల్లె
1576,JAGARAMPALLE,జాగరంపల్లె
1577,MUSURUMILLI,ముసురుమిల్లి
1578,GOPAVARAM,గోపవరం
1579,GOTLAGUDEM,గొట్లగూడెం
1580,YERRAMPALEM,ఎర్రంపాలెం
1581,FOULKSPETA,ఫౌల్క్స్పెట
1582,TUNNURU,తున్నూరు
1583,KATCHULURU,కాచులూరు
1584,DONALANKA,దొనలంక
1585,CHOPPAKONDA,చొప్పకొండ
1586,DAMANAPALLI,దమనపల్లి
1587,VELAGAPALLI,వెలగపల్లి
1588,THOYYERU,తొయ్యేరు
1589,DEVIPATNAM,దేవిపట్నం
1590,SEETHARAM,సీతారాం
1591,NAGALLAPALLI,నాగళ్లపల్లి
1592,PARAGASANI,పరగసాని
1593,GONDURU,గొండూరు
1594,CHINNARIGANDI,చిన్నారిగండి
1595,RAVILANKA,రావిలంక
1596,LOTHUPALEM,లోతుపాలెం
1597,KOTHAVEEDHI,కొత్తవీధి
1598,POTHUKONDA,పోతుకొండ
1599,INDUKURUPETA,ఇందుకూరుపేట
1600,UPPAYYAPALEM,ఉప్పయ్యపాలెం
1601,NELAKOTA,నెలకోట
1602,PURUSHOTHA,పురుషోత
1603,PATNAM,పట్నం
1604,CHINAVANGALAPUDI,చినవంగాలపూడి
1605,VANGALAPUDI,వంగలపూడి
1606,KONDEPUDI,కొండెపూడి
1607,CHINAKONDEPUDI,చినకొండెపూడి
1608,NAGAMPALLE,నాగంపల్లె
1609,ATCHAYYAPALEM,అత్చాయ్యపాలెం
1610,VENKATA,వెంకట
1611,KRISHPURAM,కృషపురం
1612,RAPAKA,రాపాక
1613,INAGANTIVARI,ఇనగంటివారి
1614,INAGANTIVARIPETA,ఇనగంటివారిపేట
1615,MUGGAULLA,ముగ్గౌళ్ళ
1616,RAJAM,రాజం
1617,(N,(ఎన్..
1618,0.,0
1619,MUNIKUDALI,మునికుడలి
1620,VEDULLA,వేదుళ్ళ
1621,KATAVARAM,కటవరం
1622,JALIMUDI,జలిముడి
1623,PRABHAKAR,ప్రభాకర్
1624,(JRN),(జె.ఆర్.
1625,BOBBILNAKA,ఎన్.)
1626,MIRTHIPADU,మిర్తిపాడు
1627,HUNDESWARAPURAM,హుండీశ్వరపురం
1628,MULAKALLANKA,ముల్కలల్లంక
1629,KOTIKESAVARAM,కోటీకేశవరం
1630,RAGHAVAPURAM,రాఘవాపురం
1631,SRIRANGAPATNAM,శ్రీరంగపట్నం
1632,S.R.,ఎస్.ఆర్.
1633,SIVALAYAM,శివాలయం
1634,4),4)
1635,WEST,వెస్ట్
1636,GONAGUDEM,గొనగూడెం
1637,KANUPURU,కనుపూరు
1638,GADARADA,గదరడ
1639,DOSAKAYALA,దోసకాయల
1640,GUMMULURU,గుమ్ములూరు
1641,MUNGALA,ముంగల
1642,BUTCHEMPETA,బుట్చేంపేట
1643,NIDIGATLA,నిడిగట్ల
1644,GADALA,గడల
1645,CHINNURU,చిన్నూరు
1646,DULLAVEEDHI,దుల్లవీధి
1647,RAJUGARI,రాజుగారి
1648,KAMARAJUPETA,కామరాజుపేట
1649,VEERALANKA,వీరలంక
1650,GOKAVARAM,గోకవరం
1651,TIRUMALAYAPALEM,తిరుమలాయపాలెం
1652,TAKURUPALEM,తాకురుపాలెం
1653,SUDIKONDA,సుదికొండ
1654,JAGANNADHA,జగన్నాధ
1655,SIVARAMA,శివరామ
1656,KALIJOLLA,కలిజోళ్ళ
1657,GANGABHAVANI,గంగాభవాని
1658,GUMMALLADODDI,గుమ్మల్లదొడ్డి
1659,BAVAJI,బావాజీ
1660,BHAVARAM,భావరం
1661,MALLISALA,మల్లిసల
1662,SEETHARAMA,సీతారామ
1663,GOLLALAGUNTA,గొల్లాలగుంట
1664,SEETAMPETA,సీతంపేట
1665,MARRIPAKA,మర్రిపాక
1666,SAGARAPETA,సాగరపేట
1667,GURRAPPALEM,గుర్రప్పాలెం
1668,BALABHADRAPURAM,బలభద్రాపురం
1669,J.,ప్రాథమికోన్నత
1670,SEETANAGARAM,సీతానగరం
1671,(Y,(వై.
1672,C),సి)
1673,VENGAYYAMMAPURAM,వెంగయ్యమ్మాపురం
1674,GEDDANAPALLI,గెడ్డనపల్లి
1675,GEDDANAPALLE,జెద్దనపల్లె
1676,VELANKA,వేలంక
1677,JAGAPATHINAGARAM,జగపతినగరం
1678,CHILLANGI,చిల్లంగి
1679,BHUPALAPATNAM,భూపాలపట్నం
1680,SOMANARAYANI,సోమనారాయణి
1681,GONEDA,గోనెద
1682,THAMARADA,తమరడ
1683,RAJUPALEM,రాజుపాలెం
1684,MARLAVA,మర్లవ
1685,MARILAVA,మరిలవ
1686,TIRUPATI,తిరుపతి
1687,CHANDRAMAMPALLI,చంద్రమ్మపల్లి
1688,TATIPARTHI,తాటిపర్తి
1689,DIVILI,దివిలి
1690,CHADALADA,చదలాడ
1691,ULIMESWARAM,ఉలిమేశ్వరం
1692,KANDRAKOTA,కంద్రకోట
1693,GOPALA,గోపాల
1694,KATTAMURU,కట్టమూరు
1695,BEEDU,బీడు
1696,SIRIVADA,సిరివాడ
1697,PULIMERU,పులిమేరు
1698,GORINTA,గోరింట
1699,VADLAMURU,వడ్లమూరు
1700,RAGAMPETA,రాగంపేట్
1701,KOTTURU,కొత్తూరు
1702,RAYABHUPALAPATNAM,రాయభూపాలపట్నం
1703,CHINABRAHMADEVAM,చినబ్రహ్మదేవం
1704,కొత్తపేట,కొత్తపేట
1705,VELDURTI,వెల్దుర్తి
1706,DONTHAMURU,దొంతమూరు
1707,RAYAVARAM,రాయవరం
1708,BHOGAPURAM,భోగాపురం
1709,RAPARTHI,రాపర్తి
1710,GOKIVADA,గోకివాడ
1711,MANGITURTHI,మంగితుర్తి
1712,JALLURU,జల్లూరు
1713,KANDRADA,కంద్రాడ
1714,KUMARAPURAM,కుమారపురం
1715,CHITRADA,చిత్రాడ
1716,NAVAKANDRAVADA,నవకంద్రవాడ
1717,ISUKAPALLI,ఇసుకపల్లి
1718,UPPARAGUDEM,ఉప్పరగూడెం
1719,NAGULAPALLI,నాగులపల్లి
1720,RAMANAKKAPETA,రమణక్కపేట
1721,PONNADA,పొన్నాడ
1722,SEELAMVARI,సీలంవారి
1723,KONAPAPAPETA,కోనపాపపేట
1724,SETTIVARIPAKALU,శెట్టివారిపాకలు
1725,MULAPETA,మూలపేట
1726,KSEZ,క్సెజ్
1727,AMARAVILLI,అమరవిల్లి
1728,THAMMAYYAPETA,తమ్మయ్యపేట
1729,RAGHAVENDHRA,రాఘవేంద్ర
1730,JONNALAGARUVU,జొన్నలగరువు
1731,THOTURU,తోటూరు
1732,KONDEVARAM,ఉండేవరం
1733,KASIVARIPAKALU,కాశీవారిపాకలు
1734,KUTUKUDUMILLI,కుటుకుడుమిల్లి
1735,NIDANAMDODDI,నిదానందోడ్డి
1736,KALAVALEDODDI,కలవలెదొడ్డి
1737,VAKATIPPA,వాకతిప్ప
1738,RAVINDRAPURAM,రవీంద్రపురం
1739,MAYAPATNAM,మయాపట్నం
1740,UPPADA,ఉప్పాడ
1741,SUBBAMPETA,సుబ్బంపేట
1742,KOMARAGIRI,కొమరగిరి
1743,VENKATARAYA,వెంకటరాయ
1744,ANADA,అనదా
1745,KAMANNAGARIPAKALU,కమ్మనగారిపాకలు
1746,GORSA,గొర్స
1747,PANDURU,పండూరు
1748,GARUVU,గరువు
1749,NEMAM,నేమం
1750,CHUTTUGUNTA,చుట్టుగుంట
1751,PAMUGUNTA,పాముగుంట
1752,PARRAKALAVA,పర్రకాల్వ
1753,5),5)
1754,THAMMAVARAM,తమ్మవరం
1755,VAKALAPUDI,వకలపూడి
1756,VALASAPAKALU,వలసపాకలు
1757,SARPAVARAM,సర్పవరం
1758,SWAMINAGAR,స్వామినగర్
1759,CHIDIGA,చిదిగ
1760,KOVVADA,కొవ్వాడ
1761,KOVVURU,కొవ్వూరు
1762,TOORANGI,తోరంగి
1763,TURANGI,తోరంగి
1764,DRIVERS,డ్రైవర్స్
1765,PAGADALAPETA,పగడాలపేట
1766,APIIC,ఎ.పి.ఐ.ఐ.సి.
1767,APSP,ఏ.పీ.ఎస్.పి.
1768,QUARTERS,క్వార్టర్స్
1769,RAIDUPALEM,రైడుపాలెం
1770,GAIGOLUPADU,గైగొలుపాడు
1771,MURALIDAR,మురళిధర్
1772,INDRAPALEM,ఇంద్రపాలెం
1773,(S),(ఎస్.)
1774,ATCHUTAPURAM,అచుతాపురం
1775,PEDABRAHMADEVAM,పెదబ్రహ్మదేవం
1776,MEDAPADU,మేడపాడు
1777,VETLAPALEM,వెట్లపాలెం
1778,GUDAPARTHI,గూడపర్తి
1779,CHELLAYAMMAPETA,చెల్లాయమ్మపేట
1780,DOMADAPAKALU,దోమాడపాకలు
1781,DURGANAGAR,దుర్గనగర్
1782,PAVARA,పావరా
1783,CHANDRAM,చంద్రం
1784,NAVARA,నవర
1785,VEMAVARAM,వేమవరం
1786,UNDURU,ఉండూరు
1787,GONCHALA,గొంచల
1788,PANASAPADU,పనసపాడు
1789,KOPPAVARAM,కొప్పవరం
1790,MAMILLADODDI,మామిళ్లదొడ్డి
1791,SATYAVARAM,సత్యవరం
1792,BOYANAPUDI,బోయనపూడి
1793,MADHAVAPATNAM,మధావపట్నం
1794,JAMUNANAGAR,జమునానగర్
1795,VENKANNA,వెంకన్న
1796,S.T.,ఎస్.టి.
1797,RAJA,రాజ
1798,VADISALERU,వాడిసలేరు
1799,NARAYANAPURAM,నారయణపురం
1800,RANGAMPETA,రంగంపేట
1801,RAJAGOPALA,రాజగోపాల
1802,CHANDREDU,చంద్రేడు
1803,PEDARAYAVARAM,పెదరాయవరం
1804,MUKUNDAVARAM,ముకుందవరం
1805,ELAKOLANU,ఈలకొలను
1806,DODDIGUNTA,దొడ్డిగుంట
1807,MARRIPUDI,మర్రిపూడి
1808,SINGAMPALLI,సింగంపల్లి
1809,BALAVARAM,బలవరం
1810,VEERAMPALEM,వీరంపాలెం
1811,VEERAMALEM,వీరమాలెం
1812,PAKALU,పాకలు
1813,SINGARAMPALEM,సింగారంపాలెం
1814,MURARI,మురారి
1815,GANDEPALLI,గండేపల్లి
1816,MALLEPALLI,మల్లేపల్లి
1817,ANNAPURAJU,అన్నపురాజు
1818,GOPALAPURAM,గోపాలపురం
1819,UPPALAPADU,ఉప్పలపాడు
1820,(Z),(జెడ్.)
1821,YELLAMILLI,యెల్లమిల్లి
1822,NAYAKAMPALLI,నాయకంపల్లి
1823,SURAMPALEM,సూరంపాలెం
1824,RAMESEMPETA,రామేశంపేట
1825,NANDARADA,నందరాడ
1826,KALAVACHARLA,కలవచర్ల
1827,NARENDRAPURAM,నరేంద్రపురం
1828,RAJANAGARAM,రాజానగరం
1829,EAST,ఈస్ట్
1830,CHAKRADWARABANDAM,చక్రద్వారాదండం
1831,RAGHUNADHAPURAM,రఘునాధపురం
1832,PALACHARLA,పాలచర్ల
1833,SRIKRISHNAPATNAM,శ్రీకృష్ణపట్నం
1834,KANAVARAM,కానవరం
1835,RAMASWAMIPETA,రామస్వామిపేట
1836,PALLAKADIAM,పల్లకడియం
1837,THOKADA,తోకాడ
1838,MALLAMPUDI,మళ్ళంపూడి
1839,MUKKINADAPAKALU,ముక్కినడపాకలు
1840,THUNGAPADU,తుంగపాడు
1841,PUNYAKSHETRAM,పుణ్యక్షేత్రం
1842,SAMPATHANAGARAM,సంపతనగరం
1843,GUNTURU,గుంటూరు
1844,TORREDU,తొర్రేడు
1845,KOLAMURU,కోలమూరు
1846,KALYAN,కల్యాణ్
1847,SC,ఎస్.సి.
1848,KATHERU,కాటేరు
1849,PIDIMGOYYI,పిడింగొయ్యి
1850,HUKUMPETA,హుకుంపేట
1851,INDRANAGAR,"ఇంద్రనగర్,"
1852,ELETRICAL,ఎలెట్రికల్
1853,J.L.B.,జె.ఎల్.బి.
1854,KANCHARALANE,కంచరలనె
1855,VADAPETA,వాడపేట
1856,DOWLESWARAM,దౌలేశ్వరం
1857,UPPARA,ఉప్పర
1858,RAJAVOLU,రాజవోలు
1859,3.,3
1860,VEMAGIRI,వేమగిరి
1861,GATTU,గట్టు
1862,KADIAM,కడియం
1863,KADIYAPULANKA,కడియపులంక
1864,BURRILANKA,బుర్రిలంక
1865,KADIAMPUSAVARAM,కడియంపుసావరం
1866,MEKALADIBBA,మేకలదిబ్బ
1867,KADIYAPU,కడియపు
1868,SAVARAM,సావరం
1869,JEGURUPADU,జెగురుపాడు
1870,MR,ఎం.ఆర్.
1871,DAMIREDDIPALLE,దామిరెడ్డిపల్లె
1872,POTTILANKA,పొట్టిలంక
1873,MURAMANDA,మురామండ
1874,DULLA,దుళ్ళ
1875,KESAVARAM,కేశవరం
1876,VEMULAPALLI,వేములపల్లి
1877,6),6)
1878,CHINADWARAPUDI,చినద్వారపూడి
1879,DWARAPUDI,ద్వారపూడి
1880,Z.,జెడ్.పి.
1881,MERNIPADU,మేర్నిపాడు
1882,VELAGATHODU,వెలగతోడు
1883,PALATHODU,పాలతోడు
1884,IPPANAPADU,ఇప్పనపాడు
1885,PEKETIPAKALU,పేకేటిపాకలు
1886,ARTHAMURU,అర్తమూరు
1887,YEDITHA,ఏడిత
1888,KOTHUR,కొత్తూర్
1889,DUPPALAPUDI,దుప్పలపూడి
1890,(CHAW),(చా)
1891,ANAPARTHY,అనపర్తి
1892,ILTD,ఐ.ఎల్.టి.డి.
1893,POLAMURU,పొలమూరు
1894,SOMESWARAM,సోమేశ్వరం
1895,SN,ఎస్.ఎన్.వై.ఎస్.
1896,KUTUKULURU,కుటుకులూరు
1897,PEDAPARTHI,పెదపర్తి
1898,RAMAKOTA,రామకోట
1899,PULAGURTHA,పులగుర్త
1900,ILLAPALLI,ఇల్లపల్లి
1901,TUMMALAPALLI,తుమ్మలపల్లి
1902,BICCAVOLU,బిక్కవోలు
1903,KAPAVARAM,కాపవరం
1904,KOMARIPALEM,కొమరిపాలెం
1905,TOSSIPUDI,తొస్సిపూడి
1906,PANDALAPAKA,పండలపాక
1907,VOOLAPALLI,ఉలపల్లి
1908,KONKUDURU,కొంకుదురు
1909,ARIKAREVULA,అరికరేవుల
1910,MELLURU,మెల్లూరు
1911,MAMIDADA,మామిడాడ
1912,LN,ఎల్.ఎన్.
1913,PEDDADA,పెద్దాడ
1914,PEDAPUDI,పెదపూడి
1915,DOMADA,దోమాడ
1916,TRAYAM,త్రయమ్
1917,BUTCHAMPETA,బుత్చంపేట
1918,KARAKUDURU,కరకుదూరు
1919,KAIKAVOLU,కైకవోలు
1920,KUMARAPRIYAM,కుమారప్రియం
1921,MADYA,మద్య
1922,PUTTAKONDA,పుట్టకొండ
1923,GANDREDU,గండ్రేడు
1924,GANDREDULANKA,గండ్రేడులంక
1925,PYNA,పైన
1926,VENDRA,వేంద్ర
1927,CHINTAPALLE,చింతపల్లె
1928,SAMPARA,సంపర
1929,GUBBALAVARI,గుబ్బలవారి
1930,KANDREGULA,కంద్రీగుల
1931,SAHAPURAM,సహపురం
1932,ADADANI,అడదని
1933,REVU,రేవు
1934,ARATLAKATTA,అరట్లకట్ట
1935,NADAKUDURU,నడకుదురు
1936,PENUGUDURU,పెనుగుదురు
1937,KORIPALLE,కోరిపల్లె
1938,KARAPA,కరప
1939,PATHARLAGADDA,పాతర్లగడ్డ
1940,GORRIPUDI,గొర్రిపూడి
1941,MURUKOPORA,మురుకోపోరా
1942,KONGODU,కొంగోడు
1943,VEMULAVADA,వేములవాడ
1944,VALASAPAKALA,వలసపాకల
1945,POLINETIVARIPETA,పొలినేటివారిపేట
1946,SIRIGALA,సిరిగల
1947,VAKADA,వాకాడ
1948,KURADA,కురడ
1949,CHINA,చిన
1950,DANAMMACHERUVU,దానమ్మ
1951,YANDAMURU,యండమూరు
1952,PEDDAPURAPPADU,పెద్దపూరప్పపాడు
1953,VIJAYARAYUDUPALEM,విజయరాయుడుపాలెం
1954,GURAJANAPALLI,గురజనపల్లి
1955,ADIVIPUDI,అడివిపూడి
1956,BONDALAVARI,బొందలవారి
1957,CHOLLANGI,చొల్లంగి
1958,KOBBARICHETTU,కొబ్బరిచెట్టు
1959,RAYAMERAKA,రాయమెరక
1960,RAMALAYAM,రామాలయం
1961,MATLA,మాట్ల
1962,GUMMALLAPETA,గుమ్మల్లపేట
1963,SRIRAM,శ్రీరామ్
1964,SANTIMULA,సన్తిముల
1965,PATAVALA,పాఠవాలా
1966,KORINGA,కోరింగ
1967,PEDDAVENKAYAPALEM,పెద్దవెంకాయపాలెం
1968,CHINVENKATAYAPALEM,చినవేంకటాయపాలెం
1969,ISLAND,ఐలాండ్
1970,PEDAVALASALA,పెడవలసల
1971,RANGANAIKAPURAM,రంగనాయకపురం
1972,MADHAVARAYUNIPETA,మాధవరాయునిపేట
1973,KESAVAPURAM,కేశవపురం
1974,SUNKATAREVU,సుంకతరేవు
1975,THURUPUPETA,తూరుపుపేట
1976,BAPANA,బాపన
1977,POLEKURU,పోలెకురు
1978,GADIMOGA,గాడిమొగ
1979,GRANTU,గ్రంటు
1980,MOOLA,మూల
1981,POLEM,పోలెం
1982,PATHIGONDI,పతిగొంది
1983,UPPANGALA,ఉప్పంగల
1984,TANGETI,తంగేటి
1985,PAMPU,పంపు
1986,TELUGODIPALEM,తెలుగోడిపాలెం
1987,NEELAPALLI,నీలపల్లి
1988,NERULLANKA,నేరుల్లంక
1989,INJARAM,ఇంజరం
1990,ARATIKAYA,అరటికాయ
1991,GOVALANKA,గోవలంక
1992,PILLANKA,పిల్లంక
1993,JAGANNATHAGIRI,జగన్నాథగిరి
1994,(T),(టి.)
1995,MATHUKUMILLI,మతుకుమిల్లి
1996,MOGALIPALEM,మొగలిపాలెం
1997,BANDANAPUDI,బందనపూడి
1998,VANUMVARI,వనుమువారి
1999,ARYAVATAM,ఆర్యావటం
2000,GOLLAPALEM,గొల్లపాలెం
2001,TANUKUWADA,తనుకువాడ
2002,SELAPAKA,సెలపాక
2003,MANJERU,మంజేరు
2004,NAKKATHIPPA,నక్కతిప్ప
2005,SEELA,శీల
2006,ONTITHADI,ఒంటితాది
2007,KAJULURU,కాజులూరు
2008,DUDALAGARUVU,దూడలగరువు
2009,CHAKIREVU,చాకిరేవు
2010,CHEDUVADA,చెడువాడా
2011,ITHAPUDI,ఐతాపూడి
2012,TANUMALLA,తనుమల్ల
2013,PENUMALLA,పెనుమల్ల
2014,CHALIVENDRAPADU,చలివేంద్రపాడు
2015,KUYYERYU,కుయ్యేరు
2016,REGUBADAVA,రేగుబడవ
2017,KUYYERU,కుయ్యేరు
2018,POLAMARUPADU,పొలమరుపాడు
2019,DUGGUDURU,దుగ్గుదురు
2020,UPPUMILLI,ఉప్పుమిల్లి
2021,KOLANKA,కోలంక
2022,NADIMPALEM,నడింపాలెం
2023,MALA,మాల
2024,NARASAPURAPUPETA,నరసాపురపుపేట
2025,JUVVIPADU,జువ్విపాడు
2026,TADIPALLE,తడిపల్లె
2027,PATIMEEDA,పాటిమీద
2028,GOLLALA,గొల్లల
2029,KANDULAPALEM,కందులపాలెం
2030,SANTAPETA,సంతపేట
2031,VELLA,వెల్ల
2032,UTRUMILLI,ఉట్రుమిల్లి
2033,JAGANNAIKULAPALEM,జగన్నాయకులపాలెం
2034,VELAMPALEM,వెళంపాలెం
2035,MUCHERUVU,ముచెరువు
2036,MAMIDIGUNTA,మామిడిగుంట
2037,NAVARATNALAGARIVU,నవరత్నాలగరివు
2038,TIRANAMPETA,తిరనంపేట
2039,DRAKSHARAMA,ద్రాక్షారామం
2040,JUTHUGAPALEM,జుతుగపాలెం
2041,KANNADA,కన్నాడ
2042,HASANBADA,హసంబాద
2043,BOUDHANAGAR,బౌధనగర్
2044,VEGAYAMMAPETA,వేగాయమ్మపేట
2045,SIDDARTHANAGAR,సిద్దార్థనగర్
2046,PEYYALA,పెయ్యల
2047,KUNDALAMMA,కుండలమ్మ
2048,ANNAI,అన్నాయ్
2049,VENKATAYAPALEM,వెంకటాయపాలెం
2050,DASARI,దాసరి
2051,VEDURUPAKA,వేదురుపాక
2052,PASALAPUDI,పసలపూడి
2053,SARVARAYA,సర్వరాయ
2054,NARALAVARIPALEM,నార్లవారిపాలెం
2055,MACHAVARAM,మాచవరం
2056,KRISHNAMMA,కృష్ణమ్మ
2057,CHELLURU,చెల్లూరు
2058,VENTURU,వెంటూరు
2059,KURMAPURAM,కుర్మపురం
2060,NELATURU,నేలటూరు
2061,NIDASANA,నిడసన
2062,METTA,మెత్త
2063,KALERU,కాలేరు
2064,ATCHYUTAPURAM,అచ్యుతాపురం
2065,NALLURU,నల్లూరు
2066,(ABS),(అబ్స్)
2067,ANGARA,అంగార
2068,KAMUJULAKOMPALU,కముజులకంపాలు
2069,KHANDRIKA,ఖండ్రిక
2070,TEKI,టేకీ
2071,THATAPUDI,తాతపూడి
2072,CHINATATAPUDI,చిన్తాతపూడి
2073,(Kothuru),(కొత్తూరు)
2074,KAPILESWARAPURAM,కపిలేశ్వరపురం
2075,MACHARA,మచ్చార
2076,NAGULACHERUVU,నాగులచెరువు
2077,LAKULU,లకులు
2078,KORUMULLI,కోరుముల్లి
2079,BADUGUVANILANKA,బడుగువానిలంక
2080,CHILAKALA,చిలకల
2081,MADIKI,మడికి
2082,CHOPPELLA,చొప్పెల్ల
2083,CHEMUDULANKA,చెముడులంక
2084,CHOPPELA,చొప్పెల
2085,NARSIPUDI,నర్సిపూడి
2086,MODUKURU,మోదుకూరు
2087,GUMMLERU,గుమ్మలేరు
2088,NAVABUPETA,నవాబుపేట
2089,JONNADA,జొన్నాడ
2090,MULATIREVU,ములాటిరేవు
2091,MULASTHANA,మూలస్థాన
2092,MULASTANAM,మూలస్థానం
2093,PENIKERU,పెనికెరు
2094,KALAVACHERLA,కలవచెర్ల
2095,ALAMURU,అలమూరు
2096,KANDRIGA,కండ్రిగా
2097,JILLELA,జిల్లెల్ల
2098,PEDAPALLA,పెదపల్ల
2099,SANDHIPUDI,సంధిపూడి
2100,STATUE,స్టేట్
2101,CHINTALURU,చింతలూరు
2102,SURYARAO,సూర్యరావు
2103,BOBBERLANKA,బొబ్బర్లంక
2104,RAJAVARAM,రాజవరం
2105,VELICHERU,వెలిచేరు
2106,VELIICHERUVU,వెలీచెరువు
2107,VADDIPARRU,వద్దిపర్రు
2108,PULIDINDI,పులిదిండి
2109,VASANTHAWADA,వసంతవాడ
2110,NARASANNAPETA,నరసన్నపేట
2111,KATTUNGA,కత్తుంగ
2112,TADIPUDI,తాడిపూడి
2113,NARKEDIMILLI,నార్కేడిమిల్లి
2114,ANKAMPALEM,అంకంపాలెం
2115,PATICHERUVU,పటిచెరువు
2116,LOLLA,లోల్ల
2117,VADAPALLE,వాడపల్లి
2118,MERLAPALEM,మెర్లపాలెం
2119,RYALI,ర్యాలి
2120,BULLEYYAREVU,బుల్లెయ్యరేవు
2121,VEERAPALLI,వీరపల్లి
2122,KATTAVA,కట్టావా
2123,UBALANKA,ఊబలంక
2124,KOMARAJU,కోమరాజు
2125,MALLAIAH,మల్లయ్య
2126,DODDI,దోడ్డి
2127,KOMARAJULANKA,కొమరాజులంక
2128,LAKSHMIPOLAVARAM,లక్ష్మీపోలవరం
2129,VEDIRESWARAM,వేదిరేశ్వరం
2130,BOKKAVARIPALEM,బొక్కవారిపాలెం
2131,RALLAGANDI,రాళ్లగండి
2132,PENKULAPATI,పెంకులపాటి
2133,MATTALADODDI,మట్టలదొడ్డి
2134,TIMMAPPA,తిమ్మప్ప
2135,JANIPIREDDIVARIPALEM,జనిపిరెడ్డివారిపాలెం
2136,MURRAOPETA,ముర్రావుపేట
2137,LAXMI,లక్ష్మీ
2138,(J),(జె.)
2139,JUTHIGAPADU,జుత్తిగపాడు
2140,(NH,(ఎన్.హెచ్.
2141,YENDAGANDI,ఎండగండి
2142,AMUJURU,అముజూరు
2143,PANINGAPALLI,పానింగపల్లి
2144,KUNDURU,కుందూరు
2145,CHERIPOLAM,చెరిపోలం
2146,TADIGOYYI,తడిగొయ్యి
2147,SIVALA,శివాల
2148,PAMPANAVARI,పంపనవారి
2149,YERRAPOTHAVARAM,ఏర్రపోతవరం
2150,GOPALARAO,గోపాలరావు
2151,BALANTRAM,బాలాంత్రం
2152,GUDIGALLA,గుడిగల్ల
2153,BHAGA,భాగ
2154,PUNTA,పంట
2155,TALLAPODU,తల్లాపోడు
2156,BHEEM,భీమ్
2157,GIDLAVARI,గిడ్లవారి
2158,KUDUPURU,కుడుపూరు
2159,DANGERU,డంగేరు
2160,KUNIMILLI,కునిమిల్లి
2161,VASALAREVU,వాసలరెవు
2162,KONAREVU,కొనరెవు
2163,TAMARAPALLI,తామరాపల్లి
2164,SATYAWADA,సత్యవాడ
2165,RAVICHERUVU,రావిచెరువు
2166,KULLA,కుల్లా
2167,NEELAGIRI,నీలగిరి
2168,TAMAYYAPALEM,తమయ్యపాలెం
2169,NARAZADA,నరజాడ
2170,KOMPALLU,కొంపల్లు
2171,(K.,(కె.
2172,SAVARAM),సావరం)
2173,KOTIPALLI,కోటిపల్లి
2174,SUNDARAPALLI,సుందరపల్లి
2175,RAJUVAIRU,రాజువైరు
2176,SERULANKA,సెరులంక
2177,KAVURI,కావూరి
2178,DONGALAGUDEM,దొంగలగూడెం
2179,BHATLA,భట్ల
2180,PALIKA,పాలిక
2181,RAVIDODDI,రవిదొడ్డి
2182,DARUVUPETA,దరువుపేట
2183,KOTAGUNTA,కోటగుంట
2184,SERILANKA,సెరీలంక
2185,BRAHMAPURI,బ్రహ్మపూరి
2186,MANDAPALLI,మండపల్లి
2187,VADAPALEM,వాడపాలెం
2188,SRINIVASAPETA,శ్రీనివాసపేట
2189,CHINAGULLA,చినగుల్ల
2190,GOGIVARIPETA,గోగివారిపేట
2191,YENUGU,ఏనుగు
2192,MAHAL,మహల్
2193,PANASALA,పనసల
2194,KAMMIREDDIPALEM,కమ్మిరెడ్డిపాలెం
2195,RN,ఆర్.ఎన్.
2196,BANDARUPETA,బండారుపేట
2197,PEDAGULLA,పెదగుల్ల
2198,REDDAPPAVARI,రెడ్డప్పవారి
2199,PALIVELA,పలివేల
2200,GANTI,గంటి
2201,AVIDI,అవిడి
2202,KUNCHEVARIPETA,కుంచేవారిపేట
2203,CHAPPIDIVARI,చప్పిడివారి
2204,PULLELAVARIPALEM,పుల్లెలవారిపాలెం
2205,ANGARAPETA,అంగారపేట
2206,GEDDAMVARIPETA,గెడ్డంవారిపేట
2207,BILLA,బిల్లా
2208,KURRU,కుర్రు
2209,NALLAVARI,నల్లవారి
2210,KAMUJUVARIPALEM,కముజువారిపాలెం
2211,MASAI,మాసాయి
2212,TARITALAVARI,తరితలవారి
2213,SATHMMALANKA,సత్మలంక
2214,DEKKALAMALA,దెక్కలమాల
2215,OORIVADDA,ఊరివద్ద
2216,KOTHULA,కోతుల
2217,THOTHIPADU,తోతిపాడు
2218,SATYANANDAPURAM,సత్యానందపురం
2219,VANAPALLI,వాణపల్లి
2220,MODEKURRU,మోడేకుర్రు
2221,RAKURTHIVARI,రాకుర్తివారి
2222,GOLAKOTIVARI,గొలకోటివాటి
2223,VUCHILIVARIPETA,వుచిలివారిపేట
2224,BURUGULANKA,బురుగులంక
2225,ADIMULAMVARIPALEM,ఆదిమూలంవారిపాలెం
2226,UDIMUDI,ఉడిమూడి
2227,YERRAMASETTIVARIPALEM,ఎర్రమాశెట్టివారిపాలెం
2228,PEDAPETA,పెదపేట
2229,KUNDALAPALLI,కుండలపల్లి
2230,POLAMMAPETA,పొలమ్మపేట
2231,BURUGUGUNTA,బురుగుగుంట
